model_id,layer,type_a,type_b,space,overlap,sigma_1,sigma_2,angle_1_deg,angle_2_deg,mean_angle_deg,shared_dimension_sigma_ge_0_5
Qwen/Qwen3.5-4B,0,3,9,raw,0.19599417880965844,0.6245105663909385,0.04443996045662141,51.35372666158006,87.45293898509992,69.40333282334,1
Qwen/Qwen3.5-4B,0,3,9,label_residualized,0.2413801449757665,0.6948087518614832,0.0010432105352658728,45.98802083571194,89.94022842834423,67.96412463202809,1
Qwen/Qwen3.5-4B,0,4,5,raw,0.1595129100830121,0.5643726454282753,0.022568501463644624,55.64126197633788,88.70681032207101,72.17403614920444,1
Qwen/Qwen3.5-4B,0,4,5,label_residualized,0.1675248030935339,0.5759719899957383,0.05749672101448029,54.83227029867595,86.70386274423554,70.76806652145575,1
Qwen/Qwen3.5-4B,0,4,6,raw,0.14569189032885035,0.45600949603411695,0.288858304683129,62.87009419100213,73.21038326546234,68.04023872823224,0
Qwen/Qwen3.5-4B,0,4,6,label_residualized,0.15371194026070298,0.4508303247101326,0.32276291429339016,63.20303079002852,71.16990321153348,67.186467000781,0
Qwen/Qwen3.5-4B,0,4,7,raw,0.2312550198823787,0.64623947861501,0.2118598028040182,49.74132894908711,77.76863625651318,63.75498260280014,1
Qwen/Qwen3.5-4B,0,4,7,label_residualized,0.2433983267748806,0.6540789153803525,0.24285268375009353,49.15015471225788,75.94503055247594,62.547592632366914,1
Qwen/Qwen3.5-4B,0,4,8,raw,0.2556439857727252,0.6355623618148374,0.3276407419564852,50.538293719254085,70.87435946449703,60.70632659187556,1
Qwen/Qwen3.5-4B,0,4,8,label_residualized,0.2937248075054075,0.6894151759185042,0.33489749211374065,46.416167212751674,70.43369538467076,58.424931298711215,1
Qwen/Qwen3.5-4B,0,4,9,raw,0.1922332236769656,0.5965649002838416,0.16904664179823675,53.37572912669297,80.26760656765985,66.82166784717641,1
Qwen/Qwen3.5-4B,0,4,9,label_residualized,0.2627325289478412,0.7002012690911804,0.18757196128095163,45.55684592077701,79.18887957337165,62.37286274707433,1
Qwen/Qwen3.5-4B,0,5,6,raw,0.3903210046522139,0.7412400552596276,0.480838007839576,42.16284334770873,61.2598520618423,51.71134770477552,1
Qwen/Qwen3.5-4B,0,5,6,label_residualized,0.41182226150217044,0.7526874293664437,0.5070563643995366,41.176289335713086,59.5320461951421,50.35416776542759,2
Qwen/Qwen3.5-4B,0,5,7,raw,0.17849966965199196,0.5090833059377813,0.31278351446238867,59.3972115158684,71.7729416763922,65.58507659613029,1
Qwen/Qwen3.5-4B,0,5,7,label_residualized,0.20035064264983643,0.5458642078353109,0.32052075112853673,56.91625962715635,71.30557937834377,64.11091950275005,1
Qwen/Qwen3.5-4B,0,5,8,raw,0.09941624451563298,0.44386652230183876,0.04260280989485592,63.64915802847062,87.55829980336989,75.60372891592026,0
Qwen/Qwen3.5-4B,0,5,8,label_residualized,0.1662897130019426,0.5711920174270917,0.07949279987177556,55.1666093505879,85.44058753905618,70.30359844482204,1
Qwen/Qwen3.5-4B,0,5,9,raw,0.12553352986611346,0.4283326907409418,0.25999647262001774,64.63820503987338,74.93014715718542,69.7841760985294,0
