model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,9,7,position_t,90,0.4831349206349206
Qwen/Qwen3.5-4B,9,7,log_offaxis_ratio,90,0.5540674603174602
Qwen/Qwen3.5-4B,9,7,offaxis_fraction,90,0.5947420634920635
Qwen/Qwen3.5-4B,9,8,position_t,93,0.574635241301908
Qwen/Qwen3.5-4B,9,8,log_offaxis_ratio,93,0.47530864197530864
Qwen/Qwen3.5-4B,9,8,offaxis_fraction,93,0.5493827160493828
Qwen/Qwen3.5-4B,9,9,position_t,69,0.40384615384615385
Qwen/Qwen3.5-4B,9,9,log_offaxis_ratio,69,0.24230769230769234
Qwen/Qwen3.5-4B,9,9,offaxis_fraction,69,0.38461538461538464
Qwen/Qwen3.5-4B,10,1,position_t,95,0.5891996142719383
Qwen/Qwen3.5-4B,10,1,log_offaxis_ratio,95,0.5525554484088717
Qwen/Qwen3.5-4B,10,1,offaxis_fraction,95,0.5318225650916104
Qwen/Qwen3.5-4B,10,2,position_t,89,0.5656084656084656
Qwen/Qwen3.5-4B,10,2,log_offaxis_ratio,89,0.4121693121693122
Qwen/Qwen3.5-4B,10,2,offaxis_fraction,89,0.47883597883597884
Qwen/Qwen3.5-4B,10,3,position_t,88,0.5035161744022503
Qwen/Qwen3.5-4B,10,3,log_offaxis_ratio,88,0.6891701828410689
Qwen/Qwen3.5-4B,10,3,offaxis_fraction,88,0.47257383966244726
Qwen/Qwen3.5-4B,10,4,position_t,91,0.4942528735632184
Qwen/Qwen3.5-4B,10,4,log_offaxis_ratio,91,0.5757575757575758
Qwen/Qwen3.5-4B,10,4,offaxis_fraction,91,0.5235109717868338
Qwen/Qwen3.5-4B,10,5,position_t,84,0.7103174603174602
Qwen/Qwen3.5-4B,10,5,log_offaxis_ratio,84,0.6320861678004535
Qwen/Qwen3.5-4B,10,5,offaxis_fraction,84,0.6315192743764172
Qwen/Qwen3.5-4B,10,6,position_t,93,0.7
Qwen/Qwen3.5-4B,10,6,log_offaxis_ratio,93,0.6674641148325359
Qwen/Qwen3.5-4B,10,6,offaxis_fraction,93,0.7124401913875599
Qwen/Qwen3.5-4B,10,7,position_t,90,0.49057539682539686
Qwen/Qwen3.5-4B,10,7,log_offaxis_ratio,90,0.5565476190476191
Qwen/Qwen3.5-4B,10,7,offaxis_fraction,90,0.5773809523809524
Qwen/Qwen3.5-4B,10,8,position_t,93,0.5836139169472503
Qwen/Qwen3.5-4B,10,8,log_offaxis_ratio,93,0.4859708193041527
